West CEI (All Steps Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,12.06
1911,37.28
1912,25.80
1913,17.38
1914,13.28
1915,11.74
1916,35.94
1917,20.48
1918,4.44
1919,16.26
1920,11.92
1921,5.08
1922,30.48
1923,24.12
1924,33.98
1925,5.04
1926,34.58
1927,10.70
1928,7.64
1929,23.50
1930,9.34
1931,6.26
1932,12.96
1933,15.04
1934,35.08
1935,2.08
1936,16.32
1937,9.68
1938,22.76
1939,22.28
1940,20.48
1941,48.98
1942,9.48
1943,6.50
1944,19.54
1945,9.84
1946,12.18
1947,9.22
1948,28.10
1949,16.50
1950,17.02
1951,6.16
1952,19.56
1953,12.20
1954,22.32
1955,28.34
1956,14.26
1957,16.86
1958,15.70
1959,52.60
1960,10.50
1961,6.80
1962,22.56
1963,4.90
1964,6.94
1965,13.86
1966,16.22
1967,0.68
1968,0.14
1969,18.58
1970,10.90
1971,16.12
1972,3.22
1973,8.94
1974,13.28
1975,14.22
1976,16.90
1977,12.84
1978,13.08
1979,6.66
1980,13.24
1981,27.82
1982,46.14
1983,62.44
1984,12.94
1985,3.88
1986,19.66
1987,3.82
1988,4.46
1989,9.42
1990,19.08
1991,6.88
1992,23.40
1993,5.62
1994,0.20
1995,37.82
1996,67.06
1997,27.52
1998,47.40
1999,0.10
2000,8.74
2001,17.84
2002,24.58
2003,32.52
2004,19.94
2005,34.88
2006,14.60
2007,36.30
2008,17.44
2009,2.98
2010,17.92
2011,5.64
2012,43.56
2013,38.14
2014,62.90
2015,66.52
2016,38.72
2017,61.58
