Contiguous U.S. Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,14.80
1911,28.00
1912,58.30
1913,28.50
1914,10.30
1915,22.60
1916,31.50
1917,42.30
1918,6.90
1919,20.10
1920,31.00
1921,43.60
1922,15.60
1923,18.00
1924,29.90
1925,11.90
1926,25.70
1927,24.70
1928,2.60
1929,23.90
1930,5.70
1931,34.50
1932,8.70
1933,32.70
1934,62.50
1935,3.00
1936,5.30
1937,2.30
1938,20.70
1939,35.10
1940,26.90
1941,20.10
1942,0.50
1943,3.50
1944,8.70
1945,3.00
1946,14.80
1947,1.10
1948,9.40
1949,11.40
1950,30.50
1951,29.30
1952,2.80
1953,27.50
1954,40.50
1955,11.40
1956,12.70
1957,7.50
1958,40.30
1959,5.40
1960,16.40
1961,6.80
1962,3.00
1963,7.30
1964,10.20
1965,9.10
1966,14.80
1967,4.00
1968,18.70
1969,15.70
1970,1.20
1971,6.70
1972,20.20
1973,6.60
1974,0.50
1975,16.80
1976,14.20
1977,1.10
1978,26.30
1979,39.90
1980,2.10
1981,17.10
1982,24.10
1983,26.70
1984,10.70
1985,14.10
1986,2.70
1987,29.20
1988,16.30
1989,16.80
1990,23.10
1991,8.20
1992,17.40
1993,31.50
1994,6.00
1995,0.90
1996,31.90
1997,8.20
1998,35.40
1999,42.00
2000,13.80
2001,19.40
2002,11.00
2003,23.90
2004,2.60
2005,7.00
2006,47.30
2007,33.70
2008,4.30
2009,5.00
2010,8.20
2011,22.20
2012,87.10
2013,11.00
2014,39.60
2015,37.00
2016,68.50
2017,46.00
