West CEI (All Steps Combined) Annual (January-December) 1910-2017,1,2,3,4,5,6,7,8,9,10
Date,south,contiguousUS,northeast,northernrockiesandplains,northwest,ohiovalley,southeast,southwest,uppermidwest,west
1910,12.06,11.7,2.3,7.5,3.3,2.1,20,36.4,5,24.98
1911,37.28,33.4,11.6,29.4,48.4,16.6,40.9,19,0.2,26.82
1912,25.8,54.5,48.5,55.9,63.8,53.4,38.2,89,41.9,31.82
1913,17.38,17.6,2.7,18.8,60.4,8.8,3.5,75.2,0.6,12.58
1914,13.28,8.5,75.6,0.1,0,0.3,16.8,4.8,0,20.38
1915,11.74,7.8,0,34.2,0.6,7.2,13.8,51.7,8.2,28.82
1916,35.94,44.1,14.3,76.5,81.2,0.1,1.6,13,34.5,16.62
1917,20.48,73.8,99.6,63,11.4,77,47.1,16.1,97.7,40.22
1918,4.44,5.3,40.1,1.3,1.2,0.1,3,26.1,0.8,16.52
1919,16.26,13.3,0.3,10.6,12.7,0.6,1.5,54.5,0.7,25.6
1920,11.92,10.1,11.7,21.4,33.4,12.8,64.1,65.9,6.1,15.94
1921,5.08,38.2,30.3,19.1,2.2,97.6,70.1,2.2,66.5,36.06
1922,30.48,25.2,0.1,15.5,52.2,20,4.9,14.5,2.6,8.26
1923,24.12,10.8,62.2,8.4,6.2,0,0.3,73.2,0.2,14.6
1924,33.98,62.1,87,38.7,1.2,62.8,34.7,9.1,65,24.72
1925,5.04,7.2,6.6,1.4,17.8,12.6,36.3,1.2,0.3,20.64
1926,34.58,14.8,92.2,1.3,47.5,27.3,7.9,15.3,39.2,5.82
1927,10.7,15.5,0,58.1,29.6,4.6,43.9,2.7,14.1,25.14
1928,7.64,1.7,0.5,0.3,0,1.4,12.8,0.1,2.5,7.16
1929,23.5,42.8,4,44,2.8,17.3,2.6,33.7,50.2,15.88
1930,9.34,9,0.2,0.2,1.7,5.7,17.5,7.6,9.4,8.26
1931,6.26,30.9,28,64,0.5,61.2,40.1,10.9,99.3,15.04
1932,12.96,15.2,0,3.1,11.2,4.2,10.6,22.3,0,11.58
1933,15.04,19.4,0.5,25.8,9.6,47.8,63.4,8.6,25.1,36.58
1934,35.08,36.4,43,95.9,99,26.3,0,93.6,35.2,36.48
1935,2.08,4.4,3.4,0.3,3.1,3.1,2.9,2.9,4.3,15.8
1936,16.32,11.9,1.4,0.1,3,4.8,0.4,0.3,9.1,23.26
1937,9.68,4.6,0,0.6,2.6,2,2.5,0,2.6,6.86
1938,22.76,11.9,0,13.2,4.4,69,15.9,0.1,16.3,24.62
1939,22.28,1.6,4.5,60.1,59,38.3,18.2,4.9,38.4,17.08
1940,20.48,44.6,73.1,5.3,36,24.8,73,5.7,18.5,22.72
1941,48.98,18.1,0.2,0,8.3,6.3,3.2,69.5,5.2,36.12
1942,9.48,7.8,0,0.3,1.2,0,0,0.4,0,17.86
1943,6.5,7.3,17.9,1.4,2.3,0.2,0.3,5.5,1.6,11.34
1944,19.54,11.2,0,1.7,1.6,0,0,25.1,0,7.38
1945,9.84,3.2,0,2.4,0.7,0.8,1.7,3.1,1.6,16.16
1946,12.18,7.5,0,7.6,0.4,69,5,1.6,21,17.02
1947,9.22,3.2,0.1,0,0.5,0.7,10,0.1,0,5.14
1948,28.1,17.2,2.6,2.3,67.9,0,5.3,0.1,0,5.14
1949,16.5,28,15.3,0.1,0.1,14.5,9.4,9.8,4.6,14.74
1950,17.02,27.5,0.3,60,32.1,16.1,0,51.2,75.2,13.6
1951,6.16,25.5,0,89.2,3.7,30,3.5,8.6,80.3,24.16
1952,19.56,5.6,0.1,0.8,0.1,4.1,2.3,1.9,0,17.56
1953,12.2,9.4,25.9,10,7.1,92.6,32.1,2.7,16.4,22.66
1954,22.32,9.9,0,23.5,14.2,48.5,44.6,61.9,3.3,49.88
1955,28.34,19.5,0,17.3,81.8,0.3,0.6,2.1,0.2,17.3
1956,14.26,4.8,1.4,0.1,2.5,5.8,0.6,10.9,0.3,33.12
1957,16.86,3.4,0,2.6,3.1,0,0,17.3,0,22.94
1958,15.7,22,25,1.7,59.2,75.5,87.8,6.5,0.1,28.74
1959,52.6,2.9,0,0.8,6.5,0.2,0.1,0.2,0,10.28
1960,10.5,11.9,4,4.6,0,40.7,35.5,4.2,2.9,17.8
1961,6.8,7.2,0,0.6,0,3.3,1.2,5.4,0,27.38
1962,22.56,3.8,50.4,0,0,0.5,16.9,0.1,1,4.62
1963,4.9,25.6,64.5,5.8,0.2,1.9,17.8,6.3,0.4,21.98
1964,6.94,14.4,6.9,2.7,43.2,0,10.4,28.6,0.1,10.36
1965,13.86,1.7,3.7,12.9,0,0,0,14.1,25.2,8.04
1966,16.22,17.1,12.9,1.7,4,18.9,77.8,0,3.6,19.22
1967,0.68,8.2,10.2,0.4,20.9,1.1,8.6,0.1,0.3,6.24
1968,0.14,20.6,1.5,0.4,0,10.8,23.1,16.3,0,35.38
1969,18.58,8.5,0,9.2,2,31.3,84,0.6,5.8,9.96
1970,10.9,4.3,0,0,0,0,0.3,0.8,0.1,7.06
1971,16.12,4.6,0,1.7,22.8,0,0.2,5.2,0,4.82
1972,3.22,4.8,11.4,23.3,1.7,32.1,3.9,0.2,91.2,5.58
1973,8.94,15.5,41.8,6.3,0.1,0,0,29.1,0,30.3
1974,13.28,0.7,0,1.9,0,0,1.1,0,0,19.98
1975,14.22,16.1,0,22.9,49,0,9.6,28,0,15.4
1976,16.9,44.3,36,11.1,0,10.7,35.7,1,4.7,30.2
1977,12.84,1.3,0,1.6,0,0,0.2,5.2,0,4.82
1978,13.08,29.3,59.5,54.5,2,78.3,13.1,1.7,16,15.34
1979,6.66,33.7,11.8,22.7,0,95.3,46,10.7,78.6,43.34
1980,13.24,0.8,4.7,0.5,1.7,6.3,0,0.3,3.8,8.9
1981,27.82,34.8,3.9,65.2,1.9,4.5,0.8,21.2,9.8,10.48
1982,46.14,3.9,0.7,33,51.2,3.6,1.2,36.8,12.1,6.28
1983,62.44,13.8,5.2,5,5.2,2.8,49.3,18.9,0.1,31.94
1984,12.94,2,0,6.7,53.6,0,0,24.7,0,6.5
1985,3.88,16,0,15.1,57.5,19.3,0.6,5.2,6,17.28
1986,19.66,22.4,0,0.2,0.8,0,18.3,1.7,0,18.02
1987,3.82,23.5,0,68,80.9,16.1,0,2.8,95.1,14.78
1988,4.46,12.9,0.7,65.4,30.8,1.8,3.4,0,23.8,10.54
1989,9.42,10.8,5.3,0,0,27.6,21.3,33.5,0.1,21.64
1990,19.08,16.8,87.1,24.2,1.3,16.4,96.7,0,29.1,11.54
1991,6.88,24.5,44.2,0,0,14.6,16.2,1.8,1.3,23.04
1992,23.4,13,0,8.2,89,6.5,31.9,3.7,1.2,22.42
1993,5.62,4.5,0,57.1,41.6,42.8,0.6,11.7,39.2,24.04
1994,0.2,6.3,0,11.4,24.8,0,0.1,11.5,0,10.54
1995,37.82,6.3,0,0.4,6.6,0,0.1,1.6,0,10.26
1996,67.06,20.5,0,51.3,6.8,49.8,17.4,43,73.2,12.56
1997,27.52,3.7,0,0,0.9,17.7,7.7,3.5,0,18.16
1998,47.4,74.1,100,6.5,21.5,43.2,63.8,3,81.1,38.66
