Northeast Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,3.90
1911,0.10
1912,59.00
1913,9.10
1914,57.90
1915,1.80
1916,29.10
1917,100.00
1918,13.10
1919,0.00
1920,42.10
1921,50.10
1922,1.00
1923,17.40
1924,77.40
1925,12.20
1926,98.60
1927,0.00
1928,8.90
1929,0.80
1930,3.10
1931,31.10
1932,1.10
1933,0.40
1934,8.70
1935,14.30
1936,3.40
1937,4.80
1938,5.10
1939,0.10
1940,88.50
1941,1.10
1942,0.00
1943,31.10
1944,0.00
1945,0.00
1946,23.50
1947,0.00
1948,0.00
1949,86.60
1950,1.40
1951,0.00
1952,2.30
1953,84.80
1954,0.00
1955,0.10
1956,2.30
1957,0.70
1958,77.70
1959,0.10
1960,4.70
1961,0.00
1962,18.00
1963,0.00
1964,0.00
1965,1.30
1966,0.00
1967,19.20
1968,0.00
1969,1.10
1970,0.00
1971,0.00
1972,78.80
1973,0.00
1974,2.30
1975,0.00
1976,11.80
1977,0.00
1978,49.10
1979,8.00
1980,13.00
1981,2.60
1982,0.00
1983,0.00
1984,0.00
1985,0.00
1986,0.00
1987,0.00
1988,0.00
1989,3.20
1990,70.50
1991,76.60
1992,25.20
1993,0.00
1994,0.00
1995,0.00
1996,4.60
1997,0.00
1998,99.70
1999,81.90
2000,0.00
2001,51.70
2002,26.20
2003,1.10
2004,0.00
2005,0.30
2006,72.50
2007,0.80
2008,1.60
2009,0.00
2010,54.80
2011,27.90
2012,100.00
2013,0.00
2014,5.50
2015,3.90
2016,97.70
2017,28.50
