Northern Rockies and Plains Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,7.50
1911,29.40
1912,55.90
1913,18.80
1914,0.10
1915,34.20
1916,76.50
1917,63.00
1918,1.30
1919,10.60
1920,21.40
1921,19.10
1922,15.50
1923,8.40
1924,38.70
1925,1.40
1926,1.30
1927,58.10
1928,0.30
1929,44.00
1930,0.20
1931,64.00
1932,3.10
1933,25.80
1934,95.90
1935,0.30
1936,0.10
1937,0.60
1938,13.20
1939,60.10
1940,5.30
1941,0.00
1942,0.30
1943,1.40
1944,1.70
1945,2.40
1946,7.60
1947,0.00
1948,2.30
1949,0.10
1950,60.00
1951,89.20
1952,0.80
1953,10.00
1954,23.50
1955,17.30
1956,0.10
1957,2.60
1958,1.70
1959,0.80
1960,4.60
1961,0.60
1962,0.00
1963,5.80
1964,2.70
1965,12.90
1966,1.70
1967,0.40
1968,0.40
1969,9.20
1970,0.00
1971,1.70
1972,23.30
1973,6.30
1974,1.90
1975,22.90
1976,11.10
1977,1.60
1978,54.50
1979,22.70
1980,0.50
1981,65.20
1982,33.00
1983,5.00
1984,6.70
1985,15.10
1986,0.20
1987,68.00
1988,65.40
1989,0.00
1990,24.20
1991,0.00
1992,8.20
1993,57.10
1994,11.40
1995,0.40
1996,51.30
1997,0.00
1998,6.50
1999,48.10
2000,2.80
2001,29.30
2002,0.00
2003,9.90
2004,0.20
2005,9.80
2006,84.10
2007,41.60
2008,0.40
2009,4.00
2010,0.00
2011,0.00
2012,95.60
2013,6.00
2014,2.90
2015,68.50
2016,81.10
2017,16.90
