Northwest Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,3.30
1911,48.40
1912,63.80
1913,60.40
1914,0.00
1915,0.60
1916,81.20
1917,11.40
1918,1.20
1919,12.70
1920,33.40
1921,2.20
1922,52.20
1923,6.20
1924,1.20
1925,17.80
1926,47.50
1927,29.60
1928,0.00
1929,2.80
1930,1.70
1931,0.50
1932,11.20
1933,9.60
1934,99.00
1935,3.10
1936,3.00
1937,2.60
1938,4.40
1939,59.00
1940,36.00
1941,8.30
1942,1.20
1943,2.30
1944,1.60
1945,0.70
1946,0.40
1947,0.50
1948,67.90
1949,0.10
1950,32.10
1951,3.70
1952,0.10
1953,7.10
1954,14.20
1955,81.80
1956,2.50
1957,3.10
1958,59.20
1959,6.50
1960,0.00
1961,0.00
1962,0.00
1963,0.20
1964,43.20
1965,0.00
1966,4.00
1967,20.90
1968,0.00
1969,2.00
1970,0.00
1971,22.80
1972,1.70
1973,0.10
1974,0.00
1975,49.00
1976,0.00
1977,0.00
1978,2.00
1979,0.00
1980,1.70
1981,1.90
1982,51.20
1983,5.20
1984,53.60
1985,57.50
1986,0.80
1987,80.90
1988,30.80
1989,0.00
1990,1.30
1991,0.00
1992,89.00
1993,41.60
1994,24.80
1995,6.60
1996,6.80
1997,0.90
1998,21.50
1999,0.00
2000,1.00
2001,17.40
2002,14.60
2003,78.60
2004,22.00
2005,4.00
2006,12.80
2007,43.70
2008,0.20
2009,0.10
2010,0.00
2011,8.00
2012,39.90
2013,8.50
2014,67.40
2015,99.80
2016,53.40
2017,6.20
