Ohio Valley Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,2.10
1911,16.60
1912,53.40
1913,8.80
1914,0.30
1915,7.20
1916,0.10
1917,77.00
1918,0.10
1919,0.60
1920,12.80
1921,97.60
1922,20.00
1923,0.00
1924,62.80
1925,12.60
1926,27.30
1927,4.60
1928,1.40
1929,17.30
1930,5.70
1931,61.20
1932,4.20
1933,47.80
1934,26.30
1935,3.10
1936,4.80
1937,2.00
1938,69.00
1939,38.30
1940,24.80
1941,6.30
1942,0.00
1943,0.20
1944,0.00
1945,0.80
1946,69.00
1947,0.70
1948,0.00
1949,14.50
1950,16.10
1951,30.00
1952,4.10
1953,92.60
1954,48.50
1955,0.30
1956,5.80
1957,0.00
1958,75.50
1959,0.20
1960,40.70
1961,3.30
1962,0.50
1963,1.90
1964,0.00
1965,0.00
1966,18.90
1967,1.10
1968,10.80
1969,31.30
1970,0.00
1971,0.00
1972,32.10
1973,0.00
1974,0.00
1975,0.00
1976,10.70
1977,0.00
1978,78.30
1979,95.30
1980,6.30
1981,4.50
1982,3.60
1983,2.80
1984,0.00
1985,19.30
1986,0.00
1987,16.10
1988,1.80
1989,27.60
1990,16.40
1991,14.60
1992,6.50
1993,42.80
1994,0.00
1995,0.00
1996,49.80
1997,17.70
1998,43.20
1999,60.00
2000,0.00
2001,1.50
2002,1.70
2003,0.70
2004,0.00
2005,4.60
2006,16.10
2007,39.00
2008,3.40
2009,1.90
2010,0.00
2011,0.60
2012,98.60
2013,15.20
2014,57.90
2015,0.90
2016,69.10
2017,55.60
