Southeast Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,20.00
1911,40.90
1912,38.20
1913,3.50
1914,16.80
1915,13.80
1916,1.60
1917,47.10
1918,3.00
1919,1.50
1920,64.10
1921,70.10
1922,4.90
1923,0.30
1924,34.70
1925,36.30
1926,7.90
1927,43.90
1928,12.80
1929,2.60
1930,17.50
1931,40.10
1932,10.60
1933,63.40
1934,0.00
1935,2.90
1936,0.40
1937,2.50
1938,15.90
1939,18.20
1940,73.00
1941,3.20
1942,0.00
1943,0.30
1944,0.00
1945,1.70
1946,5.00
1947,10.00
1948,5.30
1949,9.40
1950,0.00
1951,3.50
1952,2.30
1953,32.10
1954,44.60
1955,0.60
1956,0.60
1957,0.00
1958,87.80
1959,0.10
1960,35.50
1961,1.20
1962,16.90
1963,17.80
1964,10.40
1965,0.00
1966,77.80
1967,8.60
1968,23.10
1969,84.00
1970,0.30
1971,0.20
1972,3.90
1973,0.00
1974,1.10
1975,9.60
1976,35.70
1977,0.20
1978,13.10
1979,46.00
1980,0.00
1981,0.80
1982,1.20
1983,49.30
1984,0.00
1985,0.60
1986,18.30
1987,0.00
1988,3.40
1989,21.30
1990,96.70
1991,16.20
1992,31.90
1993,0.60
1994,0.10
1995,0.10
1996,17.40
1997,7.70
1998,63.80
1999,21.90
2000,3.10
2001,1.30
2002,8.00
2003,2.90
2004,0.00
2005,0.00
2006,35.90
2007,72.90
2008,0.10
2009,4.30
2010,4.60
2011,56.90
2012,61.30
2013,25.80
2014,8.60
2015,22.00
2016,71.60
2017,67.60
