Southwest Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,36.40
1911,19.00
1912,89.00
1913,75.20
1914,4.80
1915,51.70
1916,13.00
1917,16.10
1918,26.10
1919,54.50
1920,65.90
1921,2.20
1922,14.50
1923,73.20
1924,9.10
1925,1.20
1926,15.30
1927,2.70
1928,0.10
1929,33.70
1930,7.60
1931,10.90
1932,22.30
1933,8.60
1934,93.60
1935,2.90
1936,0.30
1937,0.00
1938,0.10
1939,4.90
1940,5.70
1941,69.50
1942,0.40
1943,5.50
1944,25.10
1945,3.10
1946,1.60
1947,0.10
1948,0.10
1949,9.80
1950,51.20
1951,8.60
1952,1.90
1953,2.70
1954,61.90
1955,2.10
1956,10.90
1957,17.30
1958,6.50
1959,0.20
1960,4.20
1961,5.40
1962,0.10
1963,6.30
1964,28.60
1965,14.10
1966,0.00
1967,0.10
1968,16.30
1969,0.60
1970,0.80
1971,5.20
1972,0.20
1973,29.10
1974,0.00
1975,28.00
1976,1.00
1977,5.20
1978,1.70
1979,10.70
1980,0.30
1981,21.20
1982,36.80
1983,18.90
1984,24.70
1985,5.20
1986,1.70
1987,2.80
1988,0.00
1989,33.50
1990,0.00
1991,1.80
1992,3.70
1993,11.70
1994,11.50
1995,1.60
1996,43.00
1997,3.50
1998,3.00
1999,28.90
2000,71.60
2001,28.60
2002,30.30
2003,78.70
2004,0.00
2005,6.50
2006,18.80
2007,36.70
2008,0.50
2009,6.60
2010,0.30
2011,17.30
2012,99.50
2013,0.20
2014,51.50
2015,31.10
2016,76.50
2017,94.10
