Upper Midwest Extremes in Maximum Temperature (Step 1 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,5.00
1911,0.20
1912,41.90
1913,0.60
1914,0.00
1915,8.20
1916,34.50
1917,97.70
1918,0.80
1919,0.70
1920,6.10
1921,66.50
1922,2.60
1923,0.20
1924,65.00
1925,0.30
1926,39.20
1927,14.10
1928,2.50
1929,50.20
1930,9.40
1931,99.30
1932,0.00
1933,25.10
1934,35.20
1935,4.30
1936,9.10
1937,2.60
1938,16.30
1939,38.40
1940,18.50
1941,5.20
1942,0.00
1943,1.60
1944,0.00
1945,1.60
1946,21.00
1947,0.00
1948,0.00
1949,4.60
1950,75.20
1951,80.30
1952,0.00
1953,16.40
1954,3.30
1955,0.20
1956,0.30
1957,0.00
1958,0.10
1959,0.00
1960,2.90
1961,0.00
1962,1.00
1963,0.40
1964,0.10
1965,25.20
1966,3.60
1967,0.30
1968,0.00
1969,5.80
1970,0.10
1971,0.00
1972,91.20
1973,0.00
1974,0.00
1975,0.00
1976,4.70
1977,0.00
1978,16.00
1979,78.60
1980,3.80
1981,9.80
1982,12.10
1983,0.10
1984,0.00
1985,6.00
1986,0.00
1987,95.10
1988,23.80
1989,0.10
1990,29.10
1991,1.30
1992,1.20
1993,39.20
1994,0.00
1995,0.00
1996,73.20
1997,0.00
1998,81.10
1999,77.60
2000,0.00
2001,43.60
2002,0.20
2003,0.00
2004,0.00
2005,31.10
2006,75.90
2007,13.10
2008,9.80
2009,0.00
2010,48.60
2011,0.20
2012,100.00
2013,3.60
2014,71.60
2015,24.20
2016,77.20
2017,12.70
