South CEI (All Steps Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,24.98
1911,26.82
1912,31.82
1913,12.58
1914,20.38
1915,28.82
1916,16.62
1917,40.22
1918,16.52
1919,25.60
1920,15.94
1921,36.06
1922,8.26
1923,14.60
1924,24.72
1925,20.64
1926,5.82
1927,25.14
1928,7.16
1929,15.88
1930,8.26
1931,15.04
1932,11.58
1933,36.58
1934,36.48
1935,15.80
1936,23.26
1937,6.86
1938,24.62
1939,17.08
1940,22.72
1941,36.12
1942,17.86
1943,11.34
1944,7.38
1945,16.16
1946,17.02
1947,5.14
1948,5.14
1949,14.74
1950,13.60
1951,24.16
1952,17.56
1953,22.66
1954,49.88
1955,17.30
1956,33.12
1957,22.94
1958,28.74
1959,10.28
1960,17.80
1961,27.38
1962,4.62
1963,21.98
1964,10.36
1965,8.04
1966,19.22
1967,6.24
1968,35.38
1969,9.96
1970,7.06
1971,4.82
1972,5.58
1973,30.30
1974,19.98
1975,15.40
1976,30.20
1977,4.82
1978,15.34
1979,43.34
1980,8.90
1981,10.48
1982,6.28
1983,31.94
1984,6.50
1985,17.28
1986,18.02
1987,14.78
1988,10.54
1989,21.64
1990,11.54
1991,23.04
1992,22.42
1993,24.04
1994,10.54
1995,10.26
1996,12.56
1997,18.16
1998,38.66
1999,28.10
2000,18.82
2001,15.08
2002,9.48
2003,10.62
2004,17.42
2005,13.08
2006,37.02
2007,22.58
2008,18.08
2009,17.70
2010,11.18
2011,41.88
2012,56.80
2013,15.66
2014,14.68
2015,37.82
2016,43.94
2017,38.68
