Hawaiian Region Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.95
1911,-0.92
1912,-0.02
1913,-0.36
1914,-0.22
1915,-0.33
1916,-0.94
1917,-0.01
1918,-0.13
1919,-0.50
1920,-0.33
1921,-0.65
1922,-0.35
1923,-0.07
1924,-0.51
1925,-0.41
1926,0.20
1927,-0.48
1928,-0.37
1929,0.23
1930,0.21
1931,0.10
1932,-0.57
1933,-0.81
1934,0.04
1935,0.37
1936,-0.08
1937,0.03
1938,0.27
1939,-0.31
1940,0.63
1941,0.49
1942,0.52
1943,0.12
1944,-0.00
1945,0.03
1946,0.40
1947,0.53
1948,-0.50
1949,-0.70
1950,-0.12
1951,0.00
1952,-0.32
1953,-0.43
1954,0.10
1955,-1.06
1956,-0.22
1957,0.15
1958,0.23
1959,0.29
1960,0.23
1961,0.12
1962,-0.17
1963,0.20
1964,-0.18
1965,0.39
1966,0.27
1967,0.50
1968,1.23
1969,-0.07
1970,-0.08
1971,-0.21
1972,-0.38
1973,-0.06
1974,0.13
1975,-0.54
1976,-0.15
1977,0.28
1978,0.03
1979,0.26
1980,0.07
1981,0.19
1982,0.28
1983,-0.31
1984,0.37
1985,0.04
1986,0.91
1987,0.53
1988,0.70
1989,0.26
1990,0.29
1991,0.37
1992,0.78
1993,0.34
1994,0.45
1995,0.37
1996,0.84
1997,0.25
1998,-0.31
1999,-0.41
2000,-0.05
2001,-0.16
2002,-0.14
2003,0.36
2004,0.45
2005,-0.03
2006,0.45
2007,0.19
2008,-0.15
2009,0.39
2010,-0.06
2011,-0.21
2012,-0.36
2013,0.20
2014,0.75
2015,1.21
2016,0.63
2017,0.79
2018,0.94
