Atlantic MDR Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.51
1911,-0.47
1912,-0.53
1913,-0.69
1914,-0.24
1915,0.04
1916,-0.29
1917,-0.68
1918,-0.13
1919,-0.26
1920,-0.39
1921,-0.41
1922,-0.53
1923,-0.61
1924,-0.61
1925,-0.34
1926,0.03
1927,0.26
1928,-0.27
1929,-0.31
1930,0.05
1931,0.07
1932,0.30
1933,0.00
1934,-0.17
1935,-0.34
1936,0.01
1937,0.38
1938,-0.08
1939,0.13
1940,0.54
1941,0.40
1942,0.26
1943,0.22
1944,0.31
1945,0.05
1946,-0.16
1947,-0.32
1948,-0.06
1949,0.05
1950,-0.07
1951,0.13
1952,0.31
1953,0.22
1954,-0.33
1955,0.28
1956,-0.08
1957,0.42
1958,0.29
1959,-0.03
1960,0.08
1961,-0.01
1962,0.12
1963,0.31
1964,-0.10
1965,-0.02
1966,0.09
1967,-0.00
1968,0.05
1969,0.24
1970,-0.04
1971,-0.15
1972,-0.01
1973,-0.22
1974,-0.38
1975,-0.28
1976,0.32
1977,-0.02
1978,0.12
1979,0.21
1980,0.29
1981,0.17
1982,-0.10
1983,0.05
1984,-0.21
1985,-0.04
1986,-0.14
1987,0.64
1988,0.10
1989,0.17
1990,0.58
1991,0.04
1992,0.07
1993,0.01
1994,-0.01
1995,0.50
1996,0.06
1997,0.52
1998,0.56
1999,0.34
2000,0.24
2001,0.37
2002,0.43
2003,0.98
2004,0.88
2005,0.78
2006,0.89
2007,0.49
2008,0.63
2009,0.73
2010,0.95
2011,0.64
2012,0.90
2013,0.86
2014,0.77
2015,1.02
2016,0.81
2017,0.82
2018,0.41
