East N Pacific Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.30
1911,0.18
1912,-0.50
1913,-0.48
1914,-0.43
1915,-0.04
1916,-1.18
1917,-0.62
1918,0.64
1919,-0.15
1920,-0.32
1921,-0.54
1922,-0.23
1923,0.19
1924,-0.60
1925,-0.17
1926,-0.60
1927,-0.21
1928,0.03
1929,-0.08
1930,0.15
1931,0.17
1932,-0.34
1933,-0.79
1934,0.28
1935,0.04
1936,0.21
1937,0.11
1938,0.25
1939,0.28
1940,0.31
1941,0.48
1942,-0.53
1943,0.17
1944,0.30
1945,-0.32
1946,0.04
1947,-0.43
1948,-0.24
1949,-0.46
1950,-0.29
1951,0.80
1952,0.30
1953,0.17
1954,-0.16
1955,-0.71
1956,-0.15
1957,0.61
1958,0.51
1959,0.41
1960,0.21
1961,0.25
1962,-0.28
1963,0.40
1964,-0.28
1965,0.17
1966,-0.18
1967,-0.25
1968,0.13
1969,-0.27
1970,-0.30
1971,-0.62
1972,0.38
1973,-0.81
1974,0.16
1975,-0.33
1976,0.17
1977,0.27
1978,0.44
1979,0.38
1980,0.12
1981,0.18
1982,0.14
1983,0.58
1984,-0.09
1985,0.42
1986,0.08
1987,0.86
1988,-0.29
1989,0.03
1990,0.51
1991,0.05
1992,0.55
1993,0.42
1994,0.41
1995,0.02
1996,0.23
1997,0.94
1998,0.06
1999,-0.55
2000,-0.07
2001,0.19
2002,0.48
2003,0.43
2004,0.54
2005,-0.10
2006,0.81
2007,-0.14
2008,0.52
2009,1.03
2010,-0.38
2011,-0.01
2012,0.43
2013,0.36
2014,0.79
2015,1.58
2016,0.83
2017,0.63
2018,0.56
