Southern Hemisphere Land Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.34
1881,-0.31
1882,-0.13
1883,-0.42
1884,-0.24
1885,0.08
1886,-0.53
1887,-0.32
1888,-0.28
1889,0.07
1890,-0.18
1891,-0.29
1892,-0.17
1893,-0.21
1894,-0.35
1895,0.06
1896,0.36
1897,0.06
1898,-0.45
1899,-0.50
1900,0.01
1901,-0.23
1902,-0.33
1903,-0.56
1904,-0.63
1905,-0.66
1906,-0.24
1907,-0.34
1908,-0.62
1909,-0.27
1910,-0.72
1911,-0.31
1912,-0.14
1913,-0.10
1914,0.22
1915,-0.18
1916,-0.28
1917,-0.43
1918,-0.30
1919,-0.24
1920,-0.21
1921,-0.35
1922,-0.40
1923,-0.28
1924,-0.44
1925,-0.42
1926,0.06
1927,0.07
1928,0.07
1929,-0.10
1930,-0.18
1931,-0.21
1932,-0.25
1933,-0.02
1934,-0.51
1935,-0.12
1936,-0.13
1937,-0.06
1938,0.13
1939,-0.31
1940,-0.07
1941,0.24
1942,-0.26
1943,0.08
1944,0.32
1945,0.07
1946,-0.20
1947,-0.26
1948,-0.13
1949,-0.34
1950,-0.63
1951,0.04
1952,-0.13
1953,-0.15
1954,-0.11
1955,-0.49
1956,-0.45
1957,0.20
1958,-0.05
1959,0.11
1960,0.21
1961,0.42
1962,-0.02
1963,0.28
1964,-0.57
1965,0.09
1966,-0.22
1967,0.50
1968,0.07
1969,0.29
1970,0.23
1971,-0.03
1972,0.28
1973,0.29
1974,-0.06
1975,-0.36
1976,-0.21
1977,0.61
1978,0.08
1979,0.42
1980,0.38
1981,-0.02
1982,0.06
1983,0.43
1984,0.47
1985,0.37
1986,0.10
1987,0.62
1988,0.72
1989,0.38
1990,0.62
1991,0.58
1992,0.31
1993,0.44
1994,0.53
1995,0.53
1996,0.67
1997,0.81
1998,0.84
1999,0.53
2000,0.53
2001,0.37
2002,1.18
2003,0.72
2004,1.11
2005,0.97
2006,1.19
2007,0.92
2008,1.04
2009,0.95
2010,0.55
2011,0.69
2012,1.07
2013,0.98
2014,1.45
2015,1.57
2016,0.86
2017,1.10
2018,1.21
