Africa Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.71
1911,-0.24
1912,-0.27
1913,-0.19
1914,-0.24
1915,-0.24
1916,-0.20
1917,-0.39
1918,-0.14
1919,-0.18
1920,-0.01
1921,0.06
1922,-0.19
1923,0.28
1924,-0.10
1925,-0.27
1926,0.40
1927,0.48
1928,0.50
1929,0.17
1930,0.44
1931,0.26
1932,0.37
1933,0.43
1934,0.06
1935,0.18
1936,-0.17
1937,0.28
1938,0.33
1939,0.28
1940,-0.01
1941,0.49
1942,-0.06
1943,0.16
1944,0.25
1945,-0.31
1946,0.11
1947,0.24
1948,-0.23
1949,0.03
1950,-0.61
1951,-0.17
1952,0.09
1953,-0.11
1954,-0.34
1955,-0.28
1956,-0.52
1957,-0.22
1958,-0.17
1959,-0.17
1960,0.32
1961,-0.32
1962,0.18
1963,-0.10
1964,-0.57
1965,-0.35
1966,-0.11
1967,-0.33
1968,-0.16
1969,-0.06
1970,-0.21
1971,-0.56
1972,0.27
1973,0.12
1974,-0.32
1975,-0.58
1976,-0.35
1977,-0.04
1978,-0.30
1979,0.32
1980,0.10
1981,0.06
1982,-0.09
1983,-0.12
1984,0.01
1985,0.01
1986,-0.06
1987,0.24
1988,0.03
1989,0.02
1990,0.29
1991,0.06
1992,0.35
1993,0.69
1994,-0.01
1995,0.58
1996,0.12
1997,0.66
1998,0.59
1999,0.35
2000,0.14
2001,0.74
2002,0.56
2003,1.11
2004,1.01
2005,0.94
2006,0.94
2007,0.66
2008,0.53
2009,0.91
2010,0.99
2011,0.55
2012,1.00
2013,0.77
2014,0.85
2015,1.56
2016,1.26
2017,0.64
2018,0.91
