Caribbean Islands Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.61
1911,-0.36
1912,-0.37
1913,-0.69
1914,-0.28
1915,-0.06
1916,-0.32
1917,-0.45
1918,-0.12
1919,-0.34
1920,-0.45
1921,-0.38
1922,-0.29
1923,-0.62
1924,-0.48
1925,-0.21
1926,-0.01
1927,0.09
1928,-0.22
1929,-0.47
1930,-0.18
1931,-0.04
1932,0.21
1933,-0.08
1934,0.00
1935,-0.28
1936,0.01
1937,0.36
1938,-0.17
1939,0.25
1940,0.25
1941,0.32
1942,0.26
1943,0.18
1944,0.18
1945,0.03
1946,0.01
1947,-0.13
1948,0.03
1949,0.01
1950,-0.18
1951,0.18
1952,0.44
1953,0.17
1954,-0.44
1955,0.11
1956,-0.03
1957,0.39
1958,0.33
1959,0.23
1960,0.30
1961,0.06
1962,0.31
1963,0.34
1964,-0.02
1965,0.11
1966,0.19
1967,0.09
1968,0.11
1969,0.37
1970,0.02
1971,-0.19
1972,0.00
1973,-0.03
1974,-0.32
1975,-0.18
1976,0.17
1977,0.04
1978,0.10
1979,0.16
1980,0.41
1981,0.30
1982,-0.01
1983,0.20
1984,-0.23
1985,-0.13
1986,-0.12
1987,0.39
1988,-0.00
1989,-0.02
1990,0.38
1991,0.03
1992,0.04
1993,0.02
1994,-0.08
1995,0.24
1996,-0.13
1997,0.14
1998,0.56
1999,0.29
2000,0.33
2001,0.23
2002,0.39
2003,0.72
2004,0.58
2005,0.70
2006,0.73
2007,0.52
2008,0.29
2009,0.63
2010,0.68
2011,0.48
2012,0.70
2013,0.80
2014,0.63
2015,0.94
2016,0.95
2017,0.77
2018,0.40
