Northeast Extremes in Minimum Temperature (Step 2 Combined) Annual (January-December) 1910-2017
Date,Actual Percent
1910,2.30
1911,11.60
1912,48.50
1913,2.70
1914,75.60
1915,0.00
1916,14.30
1917,99.60
1918,40.10
1919,0.30
1920,11.70
1921,30.30
1922,0.10
1923,62.20
1924,87.00
1925,6.60
1926,92.20
1927,0.00
1928,0.50
1929,4.00
1930,0.20
1931,28.00
1932,0.00
1933,0.50
1934,43.00
1935,3.40
1936,1.40
1937,0.00
1938,0.00
1939,4.50
1940,73.10
1941,0.20
1942,0.00
1943,17.90
1944,0.00
1945,0.00
1946,0.00
1947,0.10
1948,2.60
1949,15.30
1950,0.30
1951,0.00
1952,0.10
1953,25.90
1954,0.00
1955,0.00
1956,1.40
1957,0.00
1958,25.00
1959,0.00
1960,4.00
1961,0.00
1962,50.40
1963,64.50
1964,6.90
1965,3.70
1966,12.90
1967,10.20
1968,1.50
1969,0.00
1970,0.00
1971,0.00
1972,11.40
1973,41.80
1974,0.00
1975,0.00
1976,36.00
1977,0.00
1978,59.50
1979,11.80
1980,4.70
1981,3.90
1982,0.70
1983,5.20
1984,0.00
1985,0.00
1986,0.00
1987,0.00
1988,0.70
1989,5.30
1990,87.10
1991,44.20
1992,0.00
1993,0.00
1994,0.00
1995,0.00
1996,0.00
1997,0.00
1998,100.00
1999,36.30
2000,0.00
2001,18.70
2002,56.70
2003,0.00
2004,5.10
2005,1.70
2006,99.80
2007,1.20
2008,0.70
2009,0.10
2010,81.50
2011,99.00
2012,100.00
2013,13.10
2014,1.40
2015,5.20
2016,90.80
2017,89.30
