Southern Hemisphere Land and Ocean Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.03
1881,-0.01
1882,0.02
1883,-0.09
1884,-0.04
1885,-0.08
1886,-0.17
1887,-0.18
1888,0.04
1889,-0.04
1890,-0.30
1891,-0.19
1892,-0.15
1893,-0.13
1894,-0.17
1895,-0.05
1896,0.06
1897,-0.06
1898,-0.30
1899,-0.11
1900,-0.06
1901,-0.29
1902,-0.28
1903,-0.36
1904,-0.33
1905,-0.27
1906,-0.27
1907,-0.24
1908,-0.41
1909,-0.39
1910,-0.46
1911,-0.33
1912,-0.27
1913,-0.20
1914,-0.08
1915,-0.14
1916,-0.24
1917,-0.11
1918,-0.14
1919,-0.20
1920,-0.08
1921,-0.11
1922,-0.22
1923,-0.29
1924,-0.38
1925,-0.21
1926,-0.19
1927,-0.17
1928,-0.18
1929,-0.23
1930,-0.11
1931,-0.23
1932,-0.30
1933,-0.29
1934,-0.19
1935,-0.15
1936,-0.11
1937,-0.09
1938,-0.02
1939,-0.18
1940,0.06
1941,0.23
1942,-0.07
1943,0.13
1944,0.22
1945,0.24
1946,-0.13
1947,-0.24
1948,-0.15
1949,-0.15
1950,-0.26
1951,-0.05
1952,0.00
1953,-0.06
1954,-0.16
1955,-0.33
1956,-0.17
1957,-0.01
1958,0.00
1959,0.06
1960,0.07
1961,0.07
1962,0.04
1963,0.02
1964,-0.19
1965,-0.00
1966,-0.15
1967,0.00
1968,0.10
1969,0.18
1970,0.13
1971,0.05
1972,0.29
1973,0.17
1974,0.10
1975,-0.09
1976,0.13
1977,0.29
1978,0.10
1979,0.42
1980,0.32
1981,0.20
1982,0.33
1983,0.33
1984,0.31
1985,0.31
1986,0.35
1987,0.49
1988,0.40
1989,0.35
1990,0.42
1991,0.40
1992,0.29
1993,0.37
1994,0.35
1995,0.35
1996,0.40
1997,0.64
1998,0.50
1999,0.34
2000,0.38
2001,0.47
2002,0.60
2003,0.55
2004,0.58
2005,0.55
2006,0.54
2007,0.45
2008,0.54
2009,0.61
2010,0.47
2011,0.47
2012,0.65
2013,0.61
2014,0.72
2015,0.86
2016,0.68
2017,0.62
2018,0.72
