Europe Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.48
1911,-0.39
1912,-1.98
1913,-0.17
1914,-0.98
1915,-1.24
1916,-0.62
1917,-0.07
1918,0.52
1919,-0.93
1920,-1.59
1921,0.22
1922,-1.31
1923,1.03
1924,0.51
1925,-0.55
1926,-0.25
1927,0.03
1928,-0.29
1929,0.78
1930,0.39
1931,-0.71
1932,0.81
1933,0.32
1934,0.89
1935,0.91
1936,-1.52
1937,0.70
1938,0.98
1939,-0.73
1940,-0.54
1941,-1.24
1942,0.71
1943,1.15
1944,0.47
1945,-0.39
1946,-1.37
1947,-0.56
1948,-0.07
1949,0.71
1950,-0.19
1951,-0.96
1952,-0.28
1953,0.87
1954,0.19
1955,0.43
1956,-0.57
1957,0.23
1958,0.47
1959,-0.64
1960,0.09
1961,1.32
1962,0.68
1963,0.30
1964,0.14
1965,-0.34
1966,1.37
1967,1.42
1968,-0.00
1969,0.44
1970,-0.48
1971,-0.25
1972,-0.87
1973,-0.75
1974,-0.78
1975,-0.16
1976,-0.57
1977,-0.01
1978,0.05
1979,-0.56
1980,-0.16
1981,0.67
1982,0.22
1983,0.11
1984,0.89
1985,0.26
1986,0.26
1987,0.26
1988,-0.03
1989,0.57
1990,0.80
1991,0.13
1992,-1.23
1993,-0.30
1994,0.05
1995,1.24
1996,0.33
1997,-0.39
1998,0.36
1999,0.82
2000,1.39
2001,1.92
2002,-0.15
2003,-0.50
2004,1.24
2005,1.12
2006,1.92
2007,0.81
2008,1.04
2009,0.47
2010,-0.30
2011,0.73
2012,1.11
2013,1.24
2014,1.55
2015,0.56
2016,0.32
2017,1.20
2018,1.67
