Northern Hemisphere Land Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.63
1881,-0.86
1882,-1.03
1883,-0.58
1884,-0.48
1885,-0.45
1886,-0.59
1887,-0.66
1888,-0.17
1889,-0.60
1890,-0.24
1891,-0.67
1892,-0.09
1893,-0.19
1894,-0.26
1895,-0.34
1896,-0.03
1897,-0.30
1898,-0.62
1899,0.19
1900,0.27
1901,-0.38
1902,-0.51
1903,-0.60
1904,-0.42
1905,-0.29
1906,-0.22
1907,-0.28
1908,-0.70
1909,-0.19
1910,-0.38
1911,-0.33
1912,-1.23
1913,-0.47
1914,-0.13
1915,-0.52
1916,-0.28
1917,-0.61
1918,0.11
1919,-0.27
1920,-0.32
1921,0.04
1922,-0.19
1923,0.23
1924,-0.02
1925,-0.10
1926,0.12
1927,0.57
1928,0.12
1929,0.24
1930,0.00
1931,0.63
1932,0.35
1933,-0.03
1934,0.24
1935,0.29
1936,0.15
1937,0.48
1938,0.49
1939,-0.21
1940,0.01
1941,0.32
1942,0.35
1943,0.49
1944,0.34
1945,0.26
1946,-0.00
1947,0.76
1948,0.16
1949,0.16
1950,-0.17
1951,0.17
1952,-0.36
1953,0.24
1954,0.10
1955,0.23
1956,-0.45
1957,-0.19
1958,-0.10
1959,-0.36
1960,-0.12
1961,-0.50
1962,0.18
1963,0.66
1964,-0.52
1965,0.12
1966,-0.16
1967,0.48
1968,-0.22
1969,-0.17
1970,-0.41
1971,-0.02
1972,-0.22
1973,-0.01
1974,-0.43
1975,-0.07
1976,-1.08
1977,-0.35
1978,-0.00
1979,0.26
1980,0.13
1981,0.08
1982,-0.13
1983,0.14
1984,-0.11
1985,-0.09
1986,0.03
1987,-0.04
1988,0.33
1989,0.39
1990,0.46
1991,0.38
1992,-0.17
1993,0.18
1994,0.68
1995,0.86
1996,-0.07
1997,0.85
1998,0.68
1999,0.69
2000,0.04
2001,0.62
2002,0.20
2003,1.24
2004,0.75
2005,1.24
2006,0.98
2007,1.02
2008,1.15
2009,0.79
2010,1.23
2011,1.33
2012,0.94
2013,0.91
2014,0.85
2015,1.25
2016,0.75
2017,0.91
2018,1.25
