South America Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.28
1911,-0.57
1912,-0.20
1913,-0.06
1914,-0.36
1915,-0.21
1916,-0.13
1917,-0.52
1918,-0.74
1919,-0.69
1920,-0.35
1921,-0.60
1922,-0.88
1923,-0.65
1924,-0.64
1925,-0.50
1926,-0.19
1927,-0.26
1928,-0.30
1929,-0.33
1930,-0.42
1931,0.02
1932,-0.13
1933,-0.31
1934,-0.75
1935,-0.74
1936,-0.17
1937,-0.51
1938,-0.34
1939,-0.13
1940,-0.60
1941,0.31
1942,-0.14
1943,0.01
1944,0.23
1945,0.53
1946,-0.18
1947,-0.32
1948,-0.22
1949,-0.71
1950,-0.66
1951,0.15
1952,-0.14
1953,-0.35
1954,-0.48
1955,-0.69
1956,-0.43
1957,0.25
1958,0.17
1959,0.06
1960,0.15
1961,0.29
1962,-0.20
1963,0.38
1964,-0.51
1965,0.37
1966,0.13
1967,0.28
1968,0.05
1969,0.10
1970,0.13
1971,-0.28
1972,0.14
1973,0.13
1974,-0.11
1975,-0.06
1976,0.22
1977,0.60
1978,0.39
1979,0.55
1980,0.41
1981,0.15
1982,0.44
1983,0.47
1984,0.78
1985,0.43
1986,0.33
1987,0.87
1988,0.31
1989,0.27
1990,0.81
1991,0.34
1992,0.52
1993,0.75
1994,0.85
1995,0.49
1996,0.72
1997,1.12
1998,1.05
1999,0.48
2000,0.86
2001,0.78
2002,1.43
2003,1.16
2004,1.02
2005,0.64
2006,1.29
2007,0.85
2008,0.94
2009,1.11
2010,0.64
2011,0.63
2012,1.31
2013,1.00
2014,1.58
2015,1.03
2016,1.08
2017,1.10
2018,1.06
